"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","trial","correctAnswer","correct","stimulus","matrixNo"
"true","false","[]","[]","[]","preload","0","45","0.0-0.0","","","","","","",""
"","","","","","survey-multi-choice-image","1","3097","0.0-1.0","3051","1","example_choice1","1","true","",""
"","","","","","survey-multi-choice-image","2","4168","0.0-2.0","1069","null","example_solution1","","","",""
"","","","","","survey-multi-choice-image","3","6657","0.0-3.0","2487","3","example_choice2","4","false","",""
"","","","","","survey-multi-choice-image","4","8299","0.0-4.0","1639","4","example_solution2","","","",""
"","","","","","html-button-response","5","9031","0.0-5.0","729","0","instructions","","","<br><br><div class=""instructions"" style=""max-width:800px;"">Es folgen nun 20 Aufgaben.<br>Markieren Sie die nach Ihrer Meinung richtige L&ouml;sung und klicken Sie auf den ""Weiter"". F&uuml;r jede Aufgabe haben Sie <b>2:00 Minuten</b> Zeit zur Beantwortung. Nach dieser Zeit wird automatisch die n&auml;chste Aufgabe gezeigt.<br><br><b>Viel Erfolg!<b></div>",""
"","","","","","survey-multi-choice-image","6","13564","0.0-6.0-0.0","4533","6","matrix","6","true","","matrix1"
"","","","","","survey-multi-choice-image","7","19194","0.0-6.0-0.1","5627","4","matrix","4","true","","matrix2"
"","","","","","survey-multi-choice-image","8","21150","0.0-6.0-0.2","1953","1","matrix","1","true","","matrix3"
"","","","","","survey-multi-choice-image","9","22985","0.0-6.0-0.3","1832","5","matrix","6","false","","matrix4"
"","","","","","survey-multi-choice-image","10","25034","0.0-6.0-0.4","2047","3","matrix","3","true","","matrix5"
"","","","","","survey-multi-choice-image","11","26920","0.0-6.0-0.5","1884","6","matrix","6","true","","matrix6"
"","","","","","survey-multi-choice-image","12","29543","0.0-6.0-0.6","2620","3","matrix","5","false","","matrix7"
"","","","","","survey-multi-choice-image","13","31267","0.0-6.0-0.7","1722","3","matrix","3","true","","matrix8"
"","","","","","survey-multi-choice-image","14","32977","0.0-6.0-0.8","1707","6","matrix","6","true","","matrix9"
"","","","","","survey-multi-choice-image","15","34565","0.0-6.0-0.9","1587","2","matrix","2","true","","matrix10"
"","","","","","survey-multi-choice-image","16","36213","0.0-6.0-0.10","1645","5","matrix","4","false","","matrix11"
"","","","","","survey-multi-choice-image","17","39756","0.0-6.0-0.11","3541","2","matrix","2","true","","matrix12"
"","","","","","survey-multi-choice-image","18","41373","0.0-6.0-0.12","1614","5","matrix","5","true","","matrix13"
"","","","","","survey-multi-choice-image","19","43309","0.0-6.0-0.13","1935","6","matrix","6","true","","matrix14"
"","","","","","survey-multi-choice-image","20","45015","0.0-6.0-0.14","1704","2","matrix","2","true","","matrix15"
"","","","","","survey-multi-choice-image","21","46987","0.0-6.0-0.15","1970","2","matrix","2","true","","matrix16"
"","","","","","survey-multi-choice-image","22","48744","0.0-6.0-0.16","1754","5","matrix","1","false","","matrix17"
"","","","","","survey-multi-choice-image","23","50849","0.0-6.0-0.17","2103","3","matrix","3","true","","matrix18"
"","","","","","survey-multi-choice-image","24","52814","0.0-6.0-0.18","1963","4","matrix","4","true","","matrix19"
"","","","","","survey-multi-choice-image","25","54618","0.0-6.0-0.19","1801","4","matrix","3","false","","matrix20"
"","","","","","html-button-response","26","57170","0.0-7.0","2548","0","score","","","<br><br><div class=""instructions"" style=""max-width:800px;"">Du hast 15 von 20 Aufgaben richtig beantwortet.</div><br><br>",""
