"view_history","rt","trial","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","pvt_iti","correct","pvt_stopwatch"
"[{""page_index"":0,""viewing_time"":824},{""page_index"":1,""viewing_time"":372}]","1197","pvt_start_screen","instructions","0","1199","0.0-0.0","","","","",""
"","null","practice_pvt_fixation","html-keyboard-response","1","5226","0.0-1.0-0.0","<span class = ""fixation"">00000</span>","null","4011","",""
"","967","practice_pvt_stopwatch","html-keyboard-response","2","6194","0.0-1.0-1.0","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">965</span>"
"","null","practice_pvt_feedback","html-keyboard-response","3","7705","0.0-1.0-2.0","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">965</span></span></div>","null","","",""
"","null","practice_pvt_fixation","html-keyboard-response","4","11296","0.0-1.0-0.1","<span class = ""fixation"">00000</span>","null","3575","",""
"","454","practice_pvt_stopwatch","html-keyboard-response","5","11751","0.0-1.0-1.1","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">451</span>"
"","null","practice_pvt_feedback","html-keyboard-response","6","13265","0.0-1.0-2.1","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">451</span></span></div>","null","","",""
"","null","practice_pvt_fixation","html-keyboard-response","7","21197","0.0-1.0-0.2","<span class = ""fixation"">00000</span>","null","7928","",""
"","1685","practice_pvt_stopwatch","html-keyboard-response","8","22882","0.0-1.0-1.2","<div><span id=""time"" class=""time"">00000</span></div>"," ","","0","<span class = ""stopwatch_p"">0</span><span class = ""stopwatch_a"">1684</span>"
"","null","practice_pvt_feedback","html-keyboard-response","9","24396","0.0-1.0-2.2","<div><span class=""feedback""><span class = ""stopwatch_p"">0</span><span class = ""stopwatch_a"">1684</span></span></div>","null","","",""
"","2633","practice_pvt_evaluation","html-button-response","10","27030","0.0-2.0","<span style=""font-size:40px"">You caught 2 out of 3 stopwatches on time!</span><br><br><br>Well done!<br><br>","0","","",""
"","617","pvt_instructions","html-button-response","11","27648","0.0-5.0","<br><br><div class=""instructions"" style=""max-width:700px;"">Great, you're ready for the task!<br>Press the space bar with your dominant hand. This part of the task will be subject to data quality controls detecting implausible and inattentive response patterns. <p style=""color:#8B0000""><b>Too many errors will terminate the study!</b></p>When you click ""continue"", the attention task will begin. <b>It will take 3 minutes.</b> </div>","0","","",""
"","null","main_pvt_fixation","html-keyboard-response","12","35105","0.0-6.0-0.0-0.0","<span class = ""fixation"">00000</span>","null","7450","",""
"","563","main_pvt_stopwatch","html-keyboard-response","13","35669","0.0-6.0-1.0-0.0","<div><span id=""time"" class=""time"">00000</span></div>"," ","","1","<span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">560</span>"
"","null","main_pvt_feedback","html-keyboard-response","14","37185","0.0-6.0-2.0-0.0","<div><span class=""feedback""><span class = ""stopwatch_p"">00</span><span class = ""stopwatch_a"">560</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","15","46415","0.0-6.0-0.1-0.1","<span class = ""fixation"">00000</span>","null","9219","",""
"","1270","main_pvt_stopwatch","html-keyboard-response","16","47686","0.0-6.0-1.1-0.1","<div><span id=""time"" class=""time"">00000</span></div>"," ","","0","<span class = ""stopwatch_p"">0</span><span class = ""stopwatch_a"">1267</span>"
"","null","main_pvt_feedback","html-keyboard-response","17","49196","0.0-6.0-2.1-0.1","<div><span class=""feedback""><span class = ""stopwatch_p"">0</span><span class = ""stopwatch_a"">1267</span></span></div>","null","","",""
"","null","main_pvt_fixation","html-keyboard-response","18","54645","0.0-6.0-0.2-0.2","<span class = ""fixation"">00000</span>","null","5429","",""
